"Team","Season","Conference","Wins","Losses","Ties","Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","AP_Poll_Preseason_Rank","AP_Poll_Postseason_Rank","AP_Poll_Highest_Rank","SOS","Bowl_Game","AP_High","AP_Post","Coach(es)","Bowl","Bowl_Result","Notes"
"air-force",2021,"MWC",10,3,NA,0.769,6,2,"0","0.75","8.7",-1.84,NA,NA,NA,"Troy Calhoun (10-3)","First Responder Bowl","Win",""
"air-force",2020,"MWC",3,3,0,0.5,2,2,"0","0.5","0.85",-4.99,NA,NA,NA,"Troy Calhoun (3-3)","","",""
"air-force",2019,"MWC",11,2,0,0.846,7,1,"0","0.875","10.47",-2.22,NA,22,22,"Troy Calhoun (11-2)","Cheez-It Bowl","Win",""
"air-force",2018,"MWC",5,7,0,0.417,3,5,"0","0.375","-1.72",-3.8,NA,NA,NA,"Troy Calhoun (5-7)","","",""
"air-force",2017,"MWC",5,7,0,0.417,4,4,"0","0.5","-4.77",-1.02,NA,NA,NA,"Troy Calhoun (5-7)","","",""
"air-force",2016,"MWC",10,3,0,0.769,5,3,"0","0.625","4.09",-4.53,NA,NA,NA,"Troy Calhoun (10-3)","Arizona Bowl","Win",""
"air-force",2015,"MWC",8,6,0,0.571,6,2,"0","0.75","0.36",-3.14,NA,NA,NA,"Troy Calhoun (8-6)","Armed Forces Bowl","Loss",""
"air-force",2014,"MWC",10,3,0,0.769,5,3,"0","0.625","2.2",-4.88,NA,NA,NA,"Troy Calhoun (10-3)","Famous Idaho Potato Bowl","Win",""
"air-force",2013,"MWC",2,10,0,0.167,0,8,"0","0","-14.88",-3.22,NA,NA,NA,"Troy Calhoun (2-10)","","",""
"air-force",2012,"MWC",6,7,0,0.462,5,3,"0","0.625","-7.35",-6.35,NA,NA,NA,"Troy Calhoun (6-7)","Armed Forces Bowl","Loss",""
"air-force",2011,"MWC",7,6,0,0.538,3,4,"0","0.429","-0.38",-4.23,NA,NA,NA,"Troy Calhoun (7-6)","Military Bowl","Loss",""
"air-force",2010,"MWC",9,4,0,0.692,5,3,"0","0.625","6.87",-1.05,NA,23,NA,"Troy Calhoun (9-4)","Independence Bowl","Win",""
"air-force",2009,"MWC",8,5,0,0.615,5,3,"0","0.625","6.57",-2.28,NA,NA,NA,"Troy Calhoun (8-5)","Armed Forces Bowl","Win",""
"air-force",2008,"MWC",8,5,0,0.615,5,3,"0","0.625","2.55",-2.53,NA,NA,NA,"Troy Calhoun (8-5)","Armed Forces Bowl","Loss",""
"air-force",2007,"MWC",9,4,0,0.692,6,2,"0","0.75","5.36",-2.33,NA,NA,NA,"Troy Calhoun (9-4)","Armed Forces Bowl","Loss",""
"air-force",2006,"MWC",4,8,0,0.333,3,5,"0","0.375","-2.94",0.81,NA,NA,NA,"Fisher DeBerry (4-8)","","",""
"air-force",2005,"MWC",4,7,0,0.364,3,5,"0","0.375","-4.38",-1.65,NA,NA,NA,"Fisher DeBerry (4-7)","","",""
"air-force",2004,"MWC",5,6,0,0.455,3,4,"0","0.429","0.52",1.16,NA,NA,NA,"Fisher DeBerry (5-6)","","",""
"air-force",2003,"MWC",7,5,0,0.583,3,4,"0","0.429","1.14",-2.94,NA,NA,NA,"Fisher DeBerry (7-5)","","",""
"air-force",2002,"MWC",8,5,0,0.615,4,3,"0","0.571","2.96",-3.27,NA,18,NA,"Fisher DeBerry (8-5)","San Francisco Bowl","Loss",""
"air-force",2001,"MWC",6,6,0,0.5,3,4,"0","0.429","-6.3",-3.22,NA,NA,NA,"Fisher DeBerry (6-6)","","",""
"air-force",2000,"MWC",9,3,0,0.75,5,2,"0","0.714","2.84",-4.33,NA,NA,NA,"Fisher DeBerry (9-3)","Silicon Valley Bowl","Win",""
"air-force",1999,"MWC",6,5,0,0.545,2,5,"0","0.286","2.35",-1.56,NA,24,NA,"Fisher DeBerry (6-5)","","",""
"air-force",1998,"WAC",12,1,0,0.923,7,1,"0","0.875","12.59",-3.25,NA,13,13,"Fisher DeBerry (12-1)","Oahu Classic","Win",""
