"Team","Season","Conference","Type","Games","Pass_Comp","Pass_Att","Pass_Pct","Pass_Yds","Pass_TD","Rush_Att","Rush_Yds","Rush_Avg","Rush_TD","Total_Plays","Total_Yds","Yards_Per_Play","Pass_First_Down","Rush_First_Down","Penalty_First_Down","Total_First_Down","Penalties","Penalty_Yards","Fumbles","Interceptions","Turnovers"
"air-force",2021,"MWC","Offense",13,4.2,8.7,48.7,95.5,0.6,64,328.4,5.1,3.4,72.7,423.9,5.8,3.6,17.3,0.9,21.8,4.2,38.8,0.4,0.3,0.7
"air-force",2021,"MWC","Defense",13,14.6,26.2,55.9,193.5,1.2,30.3,102.5,3.4,1.4,56.5,296,5.2,7.9,6.2,1,15.2,5.5,44.1,0.6,0.6,1.2
"air-force",2021,"MWC","Difference",0,-10.4,-17.5,-7.2,-98,-0.6,33.7,225.9,1.7,2,16.2,127.9,0.6,-4.3,11.1,-0.1,6.6,-1.3,-5.3,-0.2,-0.3,-0.5
"air-force",2020,"MWC","Offense",6,5.7,10.2,55.7,83.7,0.5,52,305.7,5.9,2.7,62.2,389.3,6.3,3.8,16.3,1.2,21.3,4.5,40.8,0.8,0.5,1.3
"air-force",2020,"MWC","Defense",6,14.7,23.8,61.5,166.8,1.2,35.7,137.7,3.9,0.7,59.5,304.5,5.1,7.7,8.7,1.3,17.7,4.8,44.2,0.5,0.8,1.3
"air-force",2020,"MWC","Difference",0,-9,-13.6,-5.8,-83.1,-0.7,16.3,168,2,2,2.7,84.8,1.2,-3.9,7.6,-0.1,3.6,-0.3,-3.4,0.3,-0.3,0
"air-force",2019,"MWC","Offense",13,5.2,9.7,54,123.2,1.1,58,299,5.2,3.2,67.7,422.2,6.2,4,17.5,0.5,22,3.2,28.3,0.9,0.5,1.4
"air-force",2019,"MWC","Defense",13,18.3,29,63.1,219.1,1.6,28.8,100.5,3.5,0.8,57.8,319.6,5.5,10.1,5.9,0.6,16.6,4.2,31.3,0.7,0.5,1.2
"air-force",2019,"MWC","Difference",0,-13.1,-19.3,-9.1,-95.9,-0.5,29.2,198.5,1.7,2.4,9.9,102.6,0.7,-6.1,11.6,-0.1,5.4,-1,-3,0.2,0,0.2
"air-force",2018,"MWC","Offense",12,7.8,14,55.4,131.3,0.8,59.4,283.7,4.8,2.8,73.4,415,5.7,5.2,15.4,1.4,22,4.5,43.4,0.8,0.4,1.3
"air-force",2018,"MWC","Defense",12,16.7,27.2,61.3,244,1.9,33.8,116.9,3.5,1.4,61,360.9,5.9,10.1,6.3,1,17.4,5.9,51.4,0.6,0.6,1.2
"air-force",2018,"MWC","Difference",0,-8.9,-13.2,-5.9,-112.7,-1.1,25.6,166.8,1.3,1.4,12.4,54.1,-0.2,-4.9,9.1,0.4,4.6,-1.4,-8,0.2,-0.2,0.1
"air-force",2017,"MWC","Offense",12,5.8,11.9,48.3,110.1,0.8,63.6,306.3,4.8,3.2,75.5,416.3,5.5,4.3,18.3,1.6,24.2,4,38.8,1.2,0.5,1.7
"air-force",2017,"MWC","Defense",12,11.3,20.3,55.6,171.1,1.3,37.6,222.8,5.9,2.6,57.8,393.9,6.8,6.8,9.5,1.4,17.7,4.2,38.1,0.4,0.4,0.8
"air-force",2017,"MWC","Difference",0,-5.5,-8.4,-7.3,-61,-0.5,26,83.5,-1.1,0.6,17.7,22.4,-1.3,-2.5,8.8,0.2,6.5,-0.2,0.7,0.8,0.1,0.9
"air-force",2016,"MWC","Offense",13,5.2,11.5,45.3,134.8,1.1,63.2,318.2,5,3,74.8,452.9,6.1,4.3,17.7,1.2,23.2,5.2,51.2,0.7,0.6,1.3
