"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"air-force",1957,"2021",66,753,408,333,12,0.55,28,14,13,1,0.518,1.28,-0.68,7,3,""
"akron",1975,"2021",37,413,153,257,3,0.374,3,1,2,0,0.333,-11.96,-6.66,0,1,""
"alabama",1902,"2021",119,1305,956,307,42,0.749,75,45,27,3,0.62,13.77,4.27,59,29,"record adjusted to 927-316-41 by NCAA"
"alabama-birmingham",1996,"2021",25,284,129,155,0,0.454,5,2,3,0,0.4,-6.23,-4.31,0,2,""
"alameda-coast-guard",1943,"1944",2,15,8,4,3,0.633,0,0,0,0,0,-0.16,-5.13,0,0,""
"alcorn-state",1977,"1977",1,11,3,8,0,0.273,0,0,0,0,0,-17.1,-9.19,0,0,""
"amarillo-field",1944,"1944",1,8,5,3,0,0.625,0,0,0,0,0,5.1,-1.78,0,0,""
"amherst",1877,"1906",25,239,108,110,21,0.496,0,0,0,0,0,-1.08,-0.09,0,0,""
"appalachian-state",1972,"2021",19,214,129,80,5,0.614,7,6,1,0,0.857,-1.21,-6.48,1,4,""
"arizona",1931,"2021",89,961,491,446,23,0.523,20,9,10,1,0.475,1.31,0.63,7,6,""
"arizona-state",1931,"2021",89,973,586,363,18,0.615,33,15,17,1,0.47,3.57,-1.31,17,17,""
"arkansas",1906,"2021",117,1236,695,502,37,0.578,43,16,24,3,0.407,6.49,3.1,29,14,"record adjusted to 696-501-37 by NCAA"
"arkansas-state",1974,"2021",41,467,207,258,2,0.445,10,4,6,0,0.4,-9.15,-6.76,0,7,"record adjusted to 197-258-2 by NCAA"
"army",1891,"2021",129,1279,701,526,51,0.568,10,7,3,0,0.7,3.37,-0.25,15,0,""
"auburn",1902,"2021",120,1255,762,447,43,0.626,46,24,20,2,0.543,8.92,4.58,40,8,"record adjusted to 765-445-42 by NCAA"
"ball-state",1975,"2021",48,540,264,272,4,0.493,9,1,8,0,0.111,-7.87,-7.16,1,6,""
"bates",1901,"1905",3,21,10,8,3,0.548,0,0,0,0,0,-0.94,-1.28,0,0,""
