Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
lafayette,2021,9/4/2021,Away,air-force,L,14,35,18,29,62.1,243,1,23,44,1.9,1,52,287,5.5,7,4,0,12,5,44,0,1,1
bryant,2021,9/18/2021,Away,akron,L,14,35,17,25,68,117,1,31,29,0.9,1,56,146,2.6,9,2,3,14,5,21,1,0,1
mercer,2021,9/11/2021,Away,alabama,L,14,48,10,18,55.6,168,2,36,48,1.3,0,54,216,4,7,3,3,13,7,54,0,2,2
elon,2021,9/18/2021,Away,appalachian-state,L,10,44,22,36,61.1,225,0,27,66,2.4,1,63,291,4.6,10,2,2,14,8,55,1,1,2
northern-arizona,2021,9/18/2021,Away,arizona,W,21,19,12,20,60,92,1,45,148,3.3,1,65,240,3.7,3,8,4,15,4,30,1,2,3
southern-utah,2021,9/2/2021,Away,arizona-state,L,14,41,19,31,61.3,146,0,26,78,3,2,57,224,3.9,7,4,4,15,8,64,1,3,4
arkansas-pine-bluff,2021,10/23/2021,Away,arkansas,L,3,45,8,22,36.4,112,0,37,111,3,0,59,223,3.8,4,6,3,13,4,30,0,2,2
central-arkansas,2021,9/4/2021,Away,arkansas-state,L,21,40,23,42,54.8,296,3,20,42,2.1,0,62,338,5.5,10,3,2,15,7,77,0,2,2
bucknell,2021,11/13/2021,Away,army,L,10,63,16,32,50,136,0,20,39,2,1,52,175,3.4,8,2,1,11,5,45,1,1,2
alabama-state,2021,9/11/2021,Away,auburn,L,0,62,19,29,65.5,130,0,29,46,1.6,0,58,176,3,7,3,1,11,8,57,1,1,2
western-illinois,2021,9/2/2021,Away,ball-state,L,21,31,30,43,69.8,367,2,24,70,2.9,1,67,437,6.5,14,2,1,17,7,73,0,1,1
texas-southern,2021,9/11/2021,Away,baylor,L,7,66,12,22,54.5,120,0,40,161,4,1,62,281,4.5,6,9,1,16,4,33,1,0,1
colgate,2021,9/4/2021,Away,boston-college,L,0,51,10,19,52.6,84,0,35,105,3,0,54,189,3.5,3,8,1,12,2,22,0,2,2
