"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"air-force",1957,2023,67,779,427,340,12,0.556,30,16,13,1,0.55,1.35,-0.84,7,3,""
"akron",1975,2023,38,437,157,277,3,0.363,3,1,2,0,0.333,-12.18,-6.66,0,1,""
"alabama",1902,2023,120,1332,979,311,42,0.751,77,46,28,3,0.617,13.85,4.29,60,30,"record adjusted to 950-320-41 by NCAA"
"alabama-birmingham",1996,2023,26,309,140,169,0,0.453,6,3,3,0,0.5,-6.16,-4.28,0,2,""
"alameda-coast-guard",1943,1944,2,15,8,4,3,0.633,0,0,0,0,0,-0.16,-5.13,0,0,""
"alcorn-state",1977,1977,1,11,3,8,0,0.273,0,0,0,0,0,-17.1,-9.19,0,0,""
"amarillo-field",1944,1944,1,8,5,3,0,0.625,0,0,0,0,0,5.1,-1.78,0,0,""
"amherst",1877,1906,25,239,108,109,22,0.498,0,0,0,0,0,-1.08,-0.09,0,0,""
"appalachian-state",1972,2023,20,240,144,91,5,0.61,8,7,1,0,0.875,-0.9,-6.16,1,4,""
"arizona",1931,2023,90,986,506,456,23,0.525,21,10,10,1,0.5,1.41,0.68,7,6,""
"arizona-state",1931,2023,90,997,592,381,18,0.606,33,15,17,1,0.47,3.39,-1.2,17,17,"record adjusted to 587-386-18 by NCAA"
"arkansas",1906,2023,118,1261,706,516,37,0.575,44,17,24,3,0.42,6.43,3.1,29,14,"record adjusted to 707-515-37 by NCAA"
"arkansas-state",1974,2023,42,492,216,274,2,0.441,11,4,7,0,0.364,-9.04,-6.56,0,7,"record adjusted to 206-274-2 by NCAA"
"army",1891,2023,130,1303,713,538,51,0.567,10,7,3,0,0.7,3.28,-0.31,15,0,""
"auburn",1902,2023,121,1280,773,461,43,0.622,47,24,21,2,0.532,8.84,4.59,40,8,"record adjusted to 776-459-42 by NCAA"
"ball-state",1975,2023,49,564,273,287,4,0.488,9,1,8,0,0.111,-7.92,-7.09,1,6,""
"bates",1901,1905,3,21,10,8,3,0.548,0,0,0,0,0,-0.94,-1.28,0,0,""
"baylor",1903,2023,118,1254,618,593,41,0.51,27,14,13,0,0.519,2.78,2.7,16,9,"record adjusted to 618-593-40 by NCAA"
"beloit",1894,1905,9,85,39,36,10,0.518,0,0,0,0,0,-1.3,-1.39,0,0,""
"birmingham-southern",1920,1924,4,36,16,17,3,0.486,0,0,0,0,0,-5.29,-4.68,0,0,""
"boise-state",1996,2023,28,356,271,85,0,0.761,21,13,8,0,0.619,5.96,-4.03,13,15,"record adjusted to 272-84-0 by NCAA"
"boston-college",1901,2023,89,967,528,423,14,0.554,28,15,13,0,0.536,1.79,0,14,1,""
"boston-university",1923,1964,20,170,73,90,7,0.45,0,0,0,0,0,-6.91,-4.99,1,0,""
"bowdoin",1896,1905,7,66,33,30,3,0.523,0,0,0,0,0,-2.71,-2.47,0,0,""
"bowling-green-state",1962,2023,62,697,372,314,11,0.542,14,5,9,0,0.357,-5.41,-6.42,1,9,""
"bradley",1949,1951,3,29,14,15,0,0.483,0,0,0,0,0,-12.91,-12.75,0,0,""
"brigham-young",1922,2023,99,1086,616,443,26,0.58,40,17,22,1,0.438,-0.73,-3.05,19,23,""
"brown",1878,1981,93,858,431,392,35,0.523,1,0,1,0,0,-2.89,-3.54,0,1,""
"bucknell",1888,1946,40,357,168,157,32,0.515,1,1,0,0,1,-2.93,-2.85,0,0,""
"buffalo",1962,2023,34,384,149,230,4,0.394,6,3,3,0,0.5,-10.06,-7.09,1,1,""
"butler",1932,1933,2,15,4,10,1,0.3,0,0,0,0,0,-16.48,-10.26,0,0,""
"cal-state-fullerton",1975,1992,18,205,76,127,2,0.376,1,0,1,0,0,-12.72,-7.22,0,2,"record adjusted to 79-124-2 by NCAA"
"cal-state-los-angeles",1969,1971,3,29,3,26,0,0.103,0,0,0,0,0,-27.59,-9.75,0,0,""
"california",1916,2023,108,1172,595,543,31,0.522,25,12,12,1,0.5,5.2,4.02,14,13,"record adjusted to 592-542-31 by NCAA"
"california-santa-barbara",1969,1971,3,32,11,21,0,0.344,0,0,0,0,0,-13.35,-7.22,0,0,""
"camp-grant",1943,1943,1,10,2,6,2,0.3,0,0,0,0,0,8.98,14.38,0,0,""
"carlisle",1896,1917,21,252,165,77,10,0.675,0,0,0,0,0,8.26,0.94,0,0,""
"carnegie-mellon",1910,1940,20,172,84,75,13,0.526,1,0,1,0,0,4.03,1.5,1,0,""
"centenary-la",1930,1941,12,131,69,48,14,0.58,1,0,0,1,0.5,0.22,-1.79,0,0,""
"central-florida",1996,2023,28,345,198,147,0,0.574,15,6,9,0,0.4,0.1,-3.34,5,6,""
"central-michigan",1975,2023,49,568,302,255,11,0.541,13,4,9,0,0.308,-6.6,-7.7,1,7,""
"centre",1919,1935,8,74,51,20,3,0.709,3,2,1,0,0.667,9.14,-0.02,0,0,""
"charlotte",2015,2023,9,103,32,71,0,0.311,1,0,1,0,0,-13.49,-5.83,0,0,""
"chattanooga",1909,1981,22,218,105,100,13,0.511,0,0,0,0,0,-5.92,-6.18,0,3,""
"chicago",1892,1939,48,466,287,147,32,0.65,0,0,0,0,0,7.28,2.92,0,7,""
"cincinnati",1954,2023,70,793,397,382,12,0.509,19,8,11,0,0.421,-2.24,-2.28,8,10,""
"citadel",1909,1981,65,609,284,304,21,0.484,1,1,0,0,1,-7.47,-6.72,0,1,""
"clemson",1902,2023,122,1304,778,465,44,0.622,50,27,23,0,0.54,5.8,1.77,36,23,""
"coast-guard",1944,1945,2,17,6,10,1,0.382,0,0,0,0,0,-4.68,-1.1,0,0,""
"coastal-carolina",2017,2023,7,87,52,35,0,0.598,4,2,2,0,0.5,-2.98,-4.93,1,1,""
"coe",1905,1905,1,9,1,7,1,0.167,0,0,0,0,0,-18.57,-4.35,0,0,""
"colby",1904,1904,1,7,2,4,1,0.357,0,0,0,0,0,-5.3,1.55,0,0,""
"colgate",1905,1981,76,670,363,266,41,0.572,0,0,0,0,0,-0.87,-4.01,0,0,""
"colorado",1902,2023,122,1225,670,517,35,0.563,30,12,18,0,0.4,3.85,1.44,19,19,""
"colorado-college",1902,1945,39,296,169,109,18,0.601,0,0,0,0,0,-1.27,-4.88,1,2,""
"colorado-mines",1902,1937,36,239,98,128,13,0.437,0,0,0,0,0,-6.56,-4.56,0,3,""
"colorado-state",1902,2023,116,1155,531,592,31,0.474,17,6,11,0,0.353,-4.04,-2.96,3,15,"record adjusted to 532-591-31 by NCAA"
"columbia",1870,1981,84,699,282,382,35,0.428,1,1,0,0,1,-4.55,-1.67,2,1,""
"connecticut",1979,2023,25,290,113,175,2,0.393,7,3,4,0,0.429,-6.62,-2.56,0,2,""
"cornell",1888,1981,93,837,488,317,32,0.602,0,0,0,0,0,2.2,-2.18,5,1,""
"cornell-college",1903,1903,1,9,1,8,0,0.111,0,0,0,0,0,-14.48,-2.14,0,0,""
"creighton",1927,1942,16,139,61,70,8,0.468,0,0,0,0,0,-6.26,-5.08,0,1,""
"cumberland",1903,1905,2,13,7,5,1,0.577,0,0,0,0,0,5.07,-0.79,0,0,""
"dartmouth",1881,1981,93,795,502,258,35,0.653,0,0,0,0,0,3.5,-2.81,5,12,""
"davidson",1902,1973,66,601,248,312,40,0.447,1,0,1,0,0,-7.33,-5.96,0,1,""
"dayton",1956,1976,21,216,78,130,8,0.38,0,0,0,0,0,-13.09,-8.45,0,0,""
"del-monte-pre-flight",1943,1943,1,8,7,1,0,0.875,0,0,0,0,0,12.87,-6.25,1,0,""
"denver",1902,1960,59,520,259,228,33,0.53,2,0,2,0,0,-4.08,-4.86,0,6,""
"detroit-mercy",1927,1964,36,338,196,132,10,0.595,0,0,0,0,0,0.21,-4.25,0,3,""
"dickinson",1889,1910,18,173,84,79,10,0.514,0,0,0,0,0,-3.19,-3.54,0,0,""
"drake",1900,1985,73,666,316,326,24,0.492,3,2,1,0,0.667,-5.6,-5.7,0,7,""
"drury",1907,1907,1,5,1,4,0,0.2,0,0,0,0,0,-13.17,-3.97,0,0,""
"duke",1922,2023,102,1094,517,548,28,0.486,16,8,8,0,0.5,2.62,2.69,16,17,""
"duquesne",1933,1950,14,132,80,49,3,0.617,1,1,0,0,1,1.04,-2.38,3,0,""
"east-carolina",1965,2023,59,677,344,330,3,0.51,17,8,9,0,0.471,-2.72,-2.71,2,6,"record adjusted to 345-329-3 by NCAA"
"east-tennessee-state",1979,1981,3,33,15,18,0,0.455,0,0,0,0,0,-9.46,-8.43,0,0,""
"eastern-michigan",1975,2023,49,557,183,366,7,0.335,7,2,5,0,0.286,-14.05,-7.32,0,1,""
"erskine",1919,1936,5,39,12,27,0,0.308,0,0,0,0,0,-13.04,-5.98,0,0,""
"florida",1911,2023,111,1208,733,436,37,0.623,48,24,24,0,0.5,8.9,4.3,34,9,""
"florida-am",2004,2004,1,11,3,8,0,0.273,0,0,0,0,0,-21.65,-12.38,0,0,""
"florida-atlantic",2004,2023,20,240,105,137,0,0.434,5,4,1,0,0.8,-7.66,-5,0,3,""
"florida-international",2004,2023,20,235,81,154,0,0.345,5,2,3,0,0.4,-12.54,-6.41,0,1,""
"florida-state",1954,2023,70,834,556,260,16,0.678,49,29,18,2,0.612,10.87,3.88,34,16,"record adjusted to 545-259-16 by NCAA"
"fordham",1909,1954,25,213,126,70,17,0.631,2,1,1,0,0.5,3.6,-1.08,6,0,""
"fort-benning",1922,1922,1,10,5,5,0,0.5,0,0,0,0,0,-6.13,-4.03,0,0,""
"fort-riley",1943,1943,1,9,6,2,1,0.722,0,0,0,0,0,10.37,1.81,0,0,""
"fort-warren",1944,1944,1,10,5,4,1,0.55,0,0,0,0,0,-4.13,-3.83,0,0,""
"franklin-marshall",1889,1904,7,62,24,31,7,0.444,0,0,0,0,0,-6.27,-3.24,0,0,""
"fresno-state",1969,2023,55,670,386,273,4,0.585,26,14,12,0,0.538,-1.69,-5.33,4,13,"record adjusted to 389-270-4 by NCAA"
"furman",1902,1981,61,605,297,280,28,0.514,0,0,0,0,0,-6.16,-6.16,0,3,""
