Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
southern-utah,2023,8/31/23,Away,arizona-state,L,21,24,9,18,50,139,1,31,87,2.8,1,49,226,4.6,4,4,2,10,8,71,0,0,0
rhode-island,2023,8/31/23,Away,georgia-state,L,35,42,24,40,60,408,4,35,112,3.2,1,75,520,6.9,13,7,2,22,9,70,0,2,2
south-dakota,2023,8/31/23,Away,missouri,L,10,35,15,25,60,148,1,35,46,1.3,0,60,194,3.2,9,4,1,14,6,57,0,0,0
arkansas-pine-bluff,2023,8/31/23,Away,tulsa,L,7,42,15,26,57.7,150,0,43,102,2.4,1,69,252,3.7,9,8,1,18,4,37,0,1,1
north-carolina-at,2023,8/31/23,Away,alabama-birmingham,L,6,35,2,8,25,16,0,41,147,3.6,0,49,163,3.3,0,10,2,12,2,10,0,0,0
elon,2023,8/31/23,Away,wake-forest,L,17,37,21,36,58.3,147,0,29,104,3.6,1,65,251,3.9,5,7,1,13,4,35,0,2,2
st.-francis-pa,2023,8/31/23,Away,western-michigan,L,17,35,14,24,58.3,230,1,22,51,2.3,1,46,281,6.1,7,4,1,12,6,51,0,0,0
howard,2023,9/1/23,Away,eastern-michigan,L,23,33,16,33,48.5,194,2,42,204,4.9,1,75,398,5.3,7,10,4,21,11,59,0,0,0
missouri-state,2023,9/1/23,Away,kansas,L,17,48,14,21,66.7,143,1,27,74,2.7,1,48,217,4.5,6,3,1,10,6,50,0,2,2
robert-morris,2023,9/2/23,Away,air-force,L,7,42,18,24,75,113,1,26,43,1.7,0,50,156,3.1,4,5,0,9,10,61,2,0,2
gardner-webb,2023,9/2/23,Away,appalachian-state,L,24,45,30,46,65.2,221,1,30,139,4.6,2,76,360,4.7,11,8,0,19,5,50,1,2,3
northern-arizona,2023,9/2/23,Away,arizona,L,3,38,18,29,62.1,186,0,41,78,1.9,0,70,264,3.8,8,3,6,17,11,84,1,0,1
western-carolina,2023,9/2/23,Away,arkansas,L,13,56,25,40,62.5,227,0,30,64,2.1,1,70,291,4.2,10,3,5,18,3,30,1,4,5
south-carolina-state,2023,9/2/23,Away,charlotte,L,3,24,6,17,35.3,59,0,38,109,2.9,0,55,168,3.1,3,4,1,8,6,51,0,1,1
